name,dtype,status,selected,n_bins,woe,quality_score
IND_Y6_Y7_num,categorical,OPTIMAL,True,2,268.0078659397172,0.13512962711967452
IND_Y7_Y8_num,categorical,OPTIMAL,True,2,363.8116494750906,0.08749621814821976
IND_Y8_Y9_num,categorical,OPTIMAL,True,3,346.00766171960964,0.10466474090504174
IND_Y9_num,categorical,OPTIMAL,True,2,272.0441733987694,0.06292124962147953
IND_SNV_num,categorical,OPTIMAL,True,3,331.7516149547072,0.12808940833136725
IND_TOT,categorical,OPTIMAL,True,5,411.1915403116251,0.0028354399628318983
IND_IND_TOT,categorical,OPTIMAL,True,5,424.5570698610676,0.001993681992317671
IND_IND_SNV,categorical,OPTIMAL,True,3,340.81136856293875,0.1542729202236796
IND_0_Y1_IND_TOT,categorical,OPTIMAL,True,5,411.19591558428516,0.0028358357059361816
IND_0_Y1_IND,categorical,OPTIMAL,True,1,250.6049016741623,0.03742580315942295
IND_0_Y1_IND_SNV,categorical,OPTIMAL,True,3,331.7634301890242,0.12810769340278846
IND_Y1_Y2_IND_TOT,categorical,OPTIMAL,True,5,411.1915403116251,0.0028354399628318983
IND_Y1_Y2_IND,categorical,OPTIMAL,True,1,250.6049016741623,0.03742580315942295
IND_Y1_Y2_IND_SNV,categorical,OPTIMAL,True,3,331.7516149547072,0.12808940833136725
